price,bed,bath,acre_lot,city,zip_code,house_size,sold_date,county,cluster
525000,3,3,0.45,Agawam,1001,2314,25/06/2014,Hampden,pink
289900,3,2,0.36,Agawam,1001,1276,12/10/2012,Hampden,pink
384900,3,2,0.46,Agawam,1001,1476,20/11/1986,Hampden,pink
199999,3,2,1.76,Agawam,1001,1968,19/09/2008,Hampden,pink
419000,4,2,2,Pelham,1002,1607,25/07/2005,Hampshire,pink
745000,4,3,0.56,Amherst,1002,2847,24/06/1992,Hampshire,pink
875000,4,4,1.5,Pelham,1002,4366,12/07/1996,Hampshire,dark purple
699900,4,4,0.77,Amherst,1002,3879,11/08/1993,Hampshire,dark purple
275000,3,2,0.16,Amherst,1002,1280,19/08/2021,Hampshire,pink
415000,4,2,0.49,Amherst,1002,1814,30/06/1997,Hampshire,pink
390000,3,2,0.5,Amherst,1002,1128,17/09/1998,Hampshire,pink
865000,4,3,0.65,Amherst,1002,3465,03/10/2006,Hampshire,dark purple
499900,4,3,0.46,Amherst,1002,2143,10/06/1988,Hampshire,pink
650000,5,4,0.64,Amherst,1002,2363,28/07/2004,Hampshire,dark purple
975000,3,4,3.04,Amherst,1002,2074,21/06/2006,Hampshire,pink
439900,3,2,0.2,Amherst,1002,1349,02/09/2005,Hampshire,pink
397000,2,2,0.51,Granby,1033,2000,13/12/2001,Hampshire,pink
389900,2,2,0.92,Whately,1093,1723,25/09/1997,Franklin,pink
459900,4,3,3.8,Sunderland,1375,2768,17/07/2009,Franklin,pink
249900,4,3,0.29,Chicopee,1020,1514,30/07/1996,Hampden,pink
324900,4,2,0.56,Granby,1033,1523,19/09/2007,Hampshire,pink
364900,3,2,1.02,Belchertown,1007,1617,05/10/2001,Hampshire,pink
240000,2,1,0.28,Chicopee,1013,1207,29/11/2011,Hampden,pink
224900,2,1,0.4,South Hadley,1075,1034,28/02/1996,Hampshire,pink
299500,3,2,0.11,Ludlow,1056,2240,03/10/2000,Hampden,pink
469900,3,3,1.82,Orange,1364,2096,30/06/2000,Franklin,pink
295000,4,2,0.3,South Hadley,1075,2112,24/05/2001,Hampshire,pink
339000,6,2,0.23,Holyoke,1040,2399,05/09/2017,Hampden,dark purple
275000,2,2,0.05,Chicopee,1013,1200,12/06/2002,Hampden,pink
579900,4,3,0.41,Easthampton,1027,2590,01/10/2003,Hampshire,pink
365000,3,2,0.3,Holyoke,1040,1880,15/02/2002,Hampden,pink
215000,1,1,0.31,Belchertown,1007,640,03/08/2000,Hampshire,pink
499000,3,2,0.14,Northampton,1062,1728,30/05/2003,Hampshire,pink
489900,3,2,0.12,Northampton,1060,1531,01/05/2009,Hampshire,pink
65000,1,1,0.4,Barre,1005,634,28/10/2003,Worcester,pink
273900,3,1,0.12,Barre,1005,1175,13/12/1996,Worcester,pink
849900,4,5,3.97,Barre,1005,5023,24/06/1988,Worcester,dark purple
449900,3,3,4.08,Barre,1005,2283,31/05/1996,Worcester,pink
169999,2,1,0.6,Belchertown,1007,802,26/06/2009,Hampshire,pink
299900,5,3,0.32,Belchertown,1007,1850,14/12/2012,Hampshire,pink
435000,3,3,1.08,Belchertown,1007,2360,01/04/2009,Hampshire,pink
330000,2,3,30,Belchertown,1007,2130,27/06/2013,Hampshire,pink
174900,3,2,0.25,Holyoke,1040,1637,26/06/2002,Hampden,pink
175000,5,2,0.13,Holyoke,1040,1924,15/10/2001,Hampden,pink
160000,5,2,1.27,Orange,1364,1495,29/04/2011,Franklin,pink
389900,2,2,6,Leverett,1054,1779,29/05/1997,Franklin,pink
300000,3,1,0.69,Southampton,1073,1200,10/07/2000,Hampshire,pink
239900,4,2,0.11,Holyoke,1040,1989,10/07/1992,Hampden,pink
299900,1,2,0.53,Greenfield,1301,3792,24/09/2008,Franklin,pink
299900,3,2,0.22,Easthampton,1027,2037,20/11/2008,Hampshire,pink
759000,5,2,1.85,South Hadley,1075,4510,01/02/2005,Hampshire,dark purple
139000,3,2,0.05,Holyoke,1040,1644,18/01/2018,Hampden,pink
110000,2,1,0.25,South Hadley,1075,800,06/07/2004,Hampshire,pink
215000,3,2,0.25,Holyoke,1040,4620,12/12/1997,Hampden,pink
386000,4,2,1.3,Deerfield,1373,2032,13/12/1993,Franklin,pink
375000,3,1,3.87,West Springfield,1089,1008,14/07/1989,Hampden,pink
1295000,4,5,7.81,Hadley,1035,7000,06/08/1997,Hampshire,dark purple
799000,4,4,1.59,Deerfield,1373,3444,17/05/2002,Franklin,dark purple
289900,5,2,0.15,Chicopee,1020,2316,28/09/2020,Hampden,pink
195500,4,2,0.17,Chicopee,1013,2030,30/12/1996,Hampden,pink
1390000,3,5,14.48,Williamsburg,1038,3112,29/04/2004,Hampshire,dark purple
285000,3,3,19.23,Southampton,1073,2268,22/11/2002,Hampshire,pink
184900,1,1,0.29,Greenfield,1301,640,01/03/1988,Franklin,pink
195000,2,1,0.15,Easthampton,1027,1276,27/11/1996,Hampshire,pink
219900,3,3,0.1,South Hadley,1075,1781,21/08/2009,Hampshire,pink
279900,3,1,0.13,Holyoke,1040,1456,21/10/2019,Hampden,pink
215000,2,1,0.22,Greenfield,1301,816,29/04/1993,Franklin,pink
425000,3,2,0.25,Northampton,1062,1609,29/06/2004,Hampshire,pink
400000,4,3,0.46,South Hadley,1075,2108,21/09/2021,Hampshire,pink
500000,4,5,1.02,Granby,1033,2396,09/01/2015,Hampshire,dark purple
689000,5,2,0.38,Northampton,1060,3364,22/05/1991,Hampshire,dark purple
249987,4,2,0.13,Chicopee,1020,1596,21/03/2007,Hampden,pink
199900,3,1,0.26,Chicopee,1020,1048,18/07/2005,Hampden,pink
185000,4,2,0.14,Holyoke,1040,2040,16/08/2000,Hampden,pink
214900,4,2,0.12,Holyoke,1040,1599,31/01/1996,Hampden,pink
379900,5,2,0.85,South Hadley,1075,1605,13/02/2017,Hampshire,pink
275000,3,1,0.29,Greenfield,1301,1482,31/10/2001,Franklin,pink
379900,4,2,0.62,Ludlow,1056,1988,11/08/2016,Hampden,pink
340000,3,2,1.07,Greenfield,1301,1100,31/08/2006,Franklin,pink
300000,6,4,0.16,Chicopee,1020,2844,30/12/2019,Hampden,dark purple
824900,4,2,0.18,Northampton,1060,2382,02/08/1990,Hampshire,pink
349900,4,1,0.91,Easthampton,1027,1404,23/09/2021,Hampshire,pink
259900,4,2,0.11,Chicopee,1013,1872,20/08/2004,Hampden,pink
240000,3,2,0.16,Springfield,1104,1284,26/08/2011,Hampden,pink
1290000,5,5,2,Williamsburg,1096,4476,30/06/2009,Hampshire,dark purple
289900,3,1,0.26,Holyoke,1040,1096,10/05/2019,Hampden,pink
199900,2,2,0.23,South Hadley,1075,1210,21/05/2004,Hampshire,pink
945000,9,10,2.83,Greenfield,1301,5512,01/07/2004,Franklin,dark purple
270000,2,1,2.61,Montague,1351,936,23/07/1987,Franklin,pink
439500,4,2,0.59,Hadley,1035,2394,08/06/2018,Hampshire,pink
289000,3,3,0.14,Holyoke,1040,1978,24/06/2009,Hampden,pink
299900,8,4,0.14,Greenfield,1301,4192,28/09/2011,Franklin,dark purple
235000,2,1,0.27,Greenfield,1301,1200,17/02/2006,Franklin,pink
449000,3,3,0.4,Easthampton,1027,1916,25/01/2008,Hampshire,pink
995000,5,4,0.72,Hadley,1035,4468,06/01/1998,Hampshire,dark purple
325000,3,2,0.54,Granby,1033,1336,02/08/2019,Hampshire,pink
399999,2,1,0.5,Northampton,1062,1072,09/09/1999,Hampshire,pink
547500,4,4,0.91,South Hadley,1075,2420,09/10/2012,Hampshire,dark purple
299900,3,2,0.53,Granby,1033,880,19/03/2018,Hampshire,pink
319000,2,1,0.48,Southampton,1073,1115,29/09/2000,Hampshire,pink
349990,3,2,0.26,Orange,1364,1300,15/04/2005,Franklin,pink
299900,3,2,0.2,Chicopee,1020,1584,18/09/2020,Hampden,pink
219900,3,2,0.05,Orange,1364,1092,04/05/2005,Franklin,pink
156750,3,1,0.47,Athol,1331,1268,21/12/2004,Worcester,pink
365000,6,3,0.31,Holyoke,1040,2408,14/12/2007,Hampden,dark purple
219000,3,1,0.15,Chicopee,1020,1170,03/01/2008,Hampden,pink
259900,3,2,0.27,Chicopee,1013,1265,18/10/2000,Hampden,pink
299987,4,2,0.17,Holyoke,1040,2094,13/08/2003,Hampden,pink
377000,7,4,0.33,Orange,1364,2538,07/12/1987,Franklin,dark purple
350000,3,1,0.34,Easthampton,1027,1248,06/01/2012,Hampshire,pink
375000,4,2,0.16,Chicopee,1020,1280,11/09/2020,Hampden,pink
266000,3,2,0.33,Montague,1351,1770,25/06/2009,Franklin,pink
240000,3,1,0.41,Montague,1351,960,17/10/2002,Franklin,pink
149900,2,2,0.57,Orange,1364,924,23/09/2008,Franklin,pink
249900,4,3,0.18,Holyoke,1040,4704,26/04/1989,Hampden,dark purple
235000,3,1,0.15,Greenfield,1301,1416,15/12/1998,Franklin,pink
1500000,6,7,4.52,South Hadley,1075,6250,02/11/2005,Hampshire,dark purple
275000,5,2,2.11,Athol,1331,3024,27/04/1984,Worcester,pink
265000,3,1,0.4,Williamsburg,1096,1529,30/04/2015,Hampshire,pink
229000,4,2,0.13,Holyoke,1040,1529,22/03/2021,Hampden,pink
299000,3,1,0.65,West Springfield,1089,1424,28/06/2004,Hampden,pink
309000,3,1,0.8,Easthampton,1027,1040,21/07/2006,Hampshire,pink
279900,4,1,1.06,Holyoke,1040,1243,30/08/1988,Hampden,pink
294900,6,2,0.13,Chicopee,1020,2288,03/06/2019,Hampden,dark purple
399900,4,3,1.6,Blandford,1008,1960,01/05/2015,Hampden,pink
675000,4,3,0.69,Blandford,1008,3476,02/07/2007,Hampden,dark purple
1237542,4,3,100.5,Blandford,1008,3063,29/08/2007,Hampden,dark purple
239900,3,2,0.4,Ware,1082,1911,27/07/1998,Hampshire,pink
329000,4,1,0.64,Longmeadow,1028,1296,23/06/2017,Hampden,pink
369900,12,3,0.15,Springfield,1105,3902,24/12/2014,Hampden,dark purple
299900,3,2,0.15,Springfield,1118,1613,30/01/2014,Hampden,pink
289900,5,3,0.14,Springfield,1108,2328,20/11/1987,Hampden,dark purple
350000,4,4,0.21,Springfield,1129,2016,24/07/2007,Hampden,pink
260000,3,1,0.39,Palmer,1069,1166,16/01/2013,Hampden,pink
375000,9,3,0.11,Springfield,1151,3656,18/06/2008,Hampden,dark purple
129900,4,2,1,Brimfield,1010,1765,26/11/2003,Hampden,pink
164900,2,1,0.35,Brimfield,1010,814,16/01/2004,Hampden,pink
559000,4,4,1.52,Brimfield,1010,3408,30/03/2005,Hampden,dark purple
899900,3,4,5.93,Brimfield,1010,5500,01/04/1993,Hampden,dark purple
115900,3,1,0.25,Chester,1011,1367,13/11/2009,Hampden,pink
160000,1,1,0.47,Cummington,1026,608,25/10/2019,Hampshire,pink
649000,3,3,21,Granville,1034,3362,27/06/1996,Hampden,pink
149900,3,2,0.24,Becket,1223,1422,20/07/1994,Berkshire,pink
289900,3,3,0.14,Springfield,1104,1588,09/06/2005,Hampden,pink
