,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date
24237,525000.0,3.0,3.0,0.45,Agawam,1001.0,2314.0,2014-06-25
24238,289900.0,3.0,2.0,0.36,Agawam,1001.0,1276.0,2012-10-12
24244,384900.0,3.0,2.0,0.46,Agawam,1001.0,1476.0,1986-11-20
24251,199999.0,3.0,2.0,1.76,Agawam,1001.0,1968.0,2008-09-19
24258,419000.0,4.0,2.0,2.0,Pelham,1002.0,1607.0,2005-07-25
24264,745000.0,4.0,3.0,0.56,Amherst,1002.0,2847.0,1992-06-24
24266,875000.0,4.0,4.0,1.5,Pelham,1002.0,4366.0,1996-07-12
24267,699900.0,4.0,4.0,0.77,Amherst,1002.0,3879.0,1993-08-11
24268,275000.0,3.0,2.0,0.16,Amherst,1002.0,1280.0,2021-08-19
24273,415000.0,4.0,2.0,0.49,Amherst,1002.0,1814.0,1997-06-30
24275,390000.0,3.0,2.0,0.5,Amherst,1002.0,1128.0,1998-09-17
24276,865000.0,4.0,3.0,0.65,Amherst,1002.0,3465.0,2006-10-03
24277,499900.0,4.0,3.0,0.46,Amherst,1002.0,2143.0,1988-06-10
24279,650000.0,5.0,4.0,0.64,Amherst,1002.0,2363.0,2004-07-28
24283,975000.0,3.0,4.0,3.04,Amherst,1002.0,2074.0,2006-06-21
24284,439900.0,3.0,2.0,0.2,Amherst,1002.0,1349.0,2005-09-02
24288,397000.0,2.0,2.0,0.51,Granby,1033.0,2000.0,2001-12-13
24294,389900.0,2.0,2.0,0.92,Whately,1093.0,1723.0,1997-09-25
24295,459900.0,4.0,3.0,3.8,Sunderland,1375.0,2768.0,2009-07-17
24296,249900.0,4.0,3.0,0.29,Chicopee,1020.0,1514.0,1996-07-30
24297,324900.0,4.0,2.0,0.56,Granby,1033.0,1523.0,2007-09-19
24298,364900.0,3.0,2.0,1.02,Belchertown,1007.0,1617.0,2001-10-05
24299,240000.0,2.0,1.0,0.28,Chicopee,1013.0,1207.0,2011-11-29
24300,224900.0,2.0,1.0,0.4,South Hadley,1075.0,1034.0,1996-02-28
24303,299500.0,3.0,2.0,0.11,Ludlow,1056.0,2240.0,2000-10-03
24306,469900.0,3.0,3.0,1.82,Orange,1364.0,2096.0,2000-06-30
24308,295000.0,4.0,2.0,0.3,South Hadley,1075.0,2112.0,2001-05-24
24310,339000.0,6.0,2.0,0.23,Holyoke,1040.0,2399.0,2017-09-05
24312,275000.0,2.0,2.0,0.05,Chicopee,1013.0,1200.0,2002-06-12
24313,579900.0,4.0,3.0,0.41,Easthampton,1027.0,2590.0,2003-10-01
24314,365000.0,3.0,2.0,0.3,Holyoke,1040.0,1880.0,2002-02-15
24315,215000.0,1.0,1.0,0.31,Belchertown,1007.0,640.0,2000-08-03
24317,499000.0,3.0,2.0,0.14,Northampton,1062.0,1728.0,2003-05-30
24318,489900.0,3.0,2.0,0.12,Northampton,1060.0,1531.0,2009-05-01
24328,65000.0,1.0,1.0,0.4,Barre,1005.0,634.0,2003-10-28
24334,273900.0,3.0,1.0,0.12,Barre,1005.0,1175.0,1996-12-13
24336,849900.0,4.0,5.0,3.97,Barre,1005.0,5023.0,1988-06-24
24337,449900.0,3.0,3.0,4.08,Barre,1005.0,2283.0,1996-05-31
24340,169999.0,2.0,1.0,0.6,Belchertown,1007.0,802.0,2009-06-26
24341,299900.0,5.0,3.0,0.32,Belchertown,1007.0,1850.0,2012-12-14
24350,435000.0,3.0,3.0,1.08,Belchertown,1007.0,2360.0,2009-04-01
24353,330000.0,2.0,3.0,30.0,Belchertown,1007.0,2130.0,2013-06-27
24910,174900.0,3.0,2.0,0.25,Holyoke,1040.0,1637.0,2002-06-26
24912,175000.0,5.0,2.0,0.13,Holyoke,1040.0,1924.0,2001-10-15
24913,160000.0,5.0,2.0,1.27,Orange,1364.0,1495.0,2011-04-29
24916,389900.0,2.0,2.0,6.0,Leverett,1054.0,1779.0,1997-05-29
24919,300000.0,3.0,1.0,0.69,Southampton,1073.0,1200.0,2000-07-10
24928,239900.0,4.0,2.0,0.11,Holyoke,1040.0,1989.0,1992-07-10
24929,299900.0,1.0,2.0,0.53,Greenfield,1301.0,3792.0,2008-09-24
24932,299900.0,3.0,2.0,0.22,Easthampton,1027.0,2037.0,2008-11-20
24934,759000.0,5.0,2.0,1.85,South Hadley,1075.0,4510.0,2005-02-01
24952,139000.0,3.0,2.0,0.05,Holyoke,1040.0,1644.0,2018-01-18
24953,110000.0,2.0,1.0,0.25,South Hadley,1075.0,800.0,2004-07-06
24954,215000.0,3.0,2.0,0.25,Holyoke,1040.0,4620.0,1997-12-12
24962,386000.0,4.0,2.0,1.3,Deerfield,1373.0,2032.0,1993-12-13
24963,375000.0,3.0,1.0,3.87,West Springfield,1089.0,1008.0,1989-07-14
24969,1295000.0,4.0,5.0,7.81,Hadley,1035.0,7000.0,1997-08-06
24977,799000.0,4.0,4.0,1.59,Deerfield,1373.0,3444.0,2002-05-17
24978,289900.0,5.0,2.0,0.15,Chicopee,1020.0,2316.0,2020-09-28
24979,195500.0,4.0,2.0,0.17,Chicopee,1013.0,2030.0,1996-12-30
24982,1390000.0,3.0,5.0,14.48,Williamsburg,1038.0,3112.0,2004-04-29
24996,285000.0,3.0,3.0,19.23,Southampton,1073.0,2268.0,2002-11-22
25001,184900.0,1.0,1.0,0.29,Greenfield,1301.0,640.0,1988-03-01
25002,195000.0,2.0,1.0,0.15,Easthampton,1027.0,1276.0,1996-11-27
25003,219900.0,3.0,3.0,0.1,South Hadley,1075.0,1781.0,2009-08-21
25008,279900.0,3.0,1.0,0.13,Holyoke,1040.0,1456.0,2019-10-21
25011,215000.0,2.0,1.0,0.22,Greenfield,1301.0,816.0,1993-04-29
25012,425000.0,3.0,2.0,0.25,Northampton,1062.0,1609.0,2004-06-29
25013,400000.0,4.0,3.0,0.46,South Hadley,1075.0,2108.0,2021-09-21
25014,500000.0,4.0,5.0,1.02,Granby,1033.0,2396.0,2015-01-09
25019,689000.0,5.0,2.0,0.38,Northampton,1060.0,3364.0,1991-05-22
25023,249987.0,4.0,2.0,0.13,Chicopee,1020.0,1596.0,2007-03-21
25039,199900.0,3.0,1.0,0.26,Chicopee,1020.0,1048.0,2005-07-18
25040,185000.0,4.0,2.0,0.14,Holyoke,1040.0,2040.0,2000-08-16
25043,214900.0,4.0,2.0,0.12,Holyoke,1040.0,1599.0,1996-01-31
25046,379900.0,5.0,2.0,0.85,South Hadley,1075.0,1605.0,2017-02-13
25051,275000.0,3.0,1.0,0.29,Greenfield,1301.0,1482.0,2001-10-31
25053,379900.0,4.0,2.0,0.62,Ludlow,1056.0,1988.0,2016-08-11
25057,340000.0,3.0,2.0,1.07,Greenfield,1301.0,1100.0,2006-08-31
25060,300000.0,6.0,4.0,0.16,Chicopee,1020.0,2844.0,2019-12-30
25061,824900.0,4.0,2.0,0.18,Northampton,1060.0,2382.0,1990-08-02
25062,349900.0,4.0,1.0,0.91,Easthampton,1027.0,1404.0,2021-09-23
25065,259900.0,4.0,2.0,0.11,Chicopee,1013.0,1872.0,2004-08-20
25067,240000.0,3.0,2.0,0.16,Springfield,1104.0,1284.0,2011-08-26
25069,1290000.0,5.0,5.0,2.0,Williamsburg,1096.0,4476.0,2009-06-30
25073,289900.0,3.0,1.0,0.26,Holyoke,1040.0,1096.0,2019-05-10
25079,199900.0,2.0,2.0,0.23,South Hadley,1075.0,1210.0,2004-05-21
25081,945000.0,9.0,10.0,2.83,Greenfield,1301.0,5512.0,2004-07-01
25084,270000.0,2.0,1.0,2.61,Montague,1351.0,936.0,1987-07-23
25086,439500.0,4.0,2.0,0.59,Hadley,1035.0,2394.0,2018-06-08
25088,289000.0,3.0,3.0,0.14,Holyoke,1040.0,1978.0,2009-06-24
25089,299900.0,8.0,4.0,0.14,Greenfield,1301.0,4192.0,2011-09-28
25093,235000.0,2.0,1.0,0.27,Greenfield,1301.0,1200.0,2006-02-17
25094,449000.0,3.0,3.0,0.4,Easthampton,1027.0,1916.0,2008-01-25
25098,995000.0,5.0,4.0,0.72,Hadley,1035.0,4468.0,1998-01-06
25100,325000.0,3.0,2.0,0.54,Granby,1033.0,1336.0,2019-08-02
25104,399999.0,2.0,1.0,0.5,Northampton,1062.0,1072.0,1999-09-09
25107,547500.0,4.0,4.0,0.91,South Hadley,1075.0,2420.0,2012-10-09
25110,299900.0,3.0,2.0,0.53,Granby,1033.0,880.0,2018-03-19
25111,319000.0,2.0,1.0,0.48,Southampton,1073.0,1115.0,2000-09-29
25119,349990.0,3.0,2.0,0.26,Orange,1364.0,1300.0,2005-04-15
25125,299900.0,3.0,2.0,0.2,Chicopee,1020.0,1584.0,2020-09-18
25128,219900.0,3.0,2.0,0.05,Orange,1364.0,1092.0,2005-05-04
25130,156750.0,3.0,1.0,0.47,Athol,1331.0,1268.0,2004-12-21
25134,365000.0,6.0,3.0,0.31,Holyoke,1040.0,2408.0,2007-12-14
25135,219000.0,3.0,1.0,0.15,Chicopee,1020.0,1170.0,2008-01-03
25136,259900.0,3.0,2.0,0.27,Chicopee,1013.0,1265.0,2000-10-18
25139,299987.0,4.0,2.0,0.17,Holyoke,1040.0,2094.0,2003-08-13
25141,377000.0,7.0,4.0,0.33,Orange,1364.0,2538.0,1987-12-07
25147,350000.0,3.0,1.0,0.34,Easthampton,1027.0,1248.0,2012-01-06
25148,375000.0,4.0,2.0,0.16,Chicopee,1020.0,1280.0,2020-09-11
25162,266000.0,3.0,2.0,0.33,Montague,1351.0,1770.0,2009-06-25
25165,240000.0,3.0,1.0,0.41,Montague,1351.0,960.0,2002-10-17
25166,149900.0,2.0,2.0,0.57,Orange,1364.0,924.0,2008-09-23
25170,249900.0,4.0,3.0,0.18,Holyoke,1040.0,4704.0,1989-04-26
25174,235000.0,3.0,1.0,0.15,Greenfield,1301.0,1416.0,1998-12-15
25175,1500000.0,6.0,7.0,4.52,South Hadley,1075.0,6250.0,2005-11-02
