,price,bed,bath,acre_lot,house_size,clusters,cluster
0,525000.0,3.0,3.0,0.45,2314.0,0,pink
1,289900.0,3.0,2.0,0.36,1276.0,0,pink
2,384900.0,3.0,2.0,0.46,1476.0,0,pink
3,199999.0,3.0,2.0,1.76,1968.0,0,pink
4,419000.0,4.0,2.0,2.0,1607.0,0,pink
5,745000.0,4.0,3.0,0.56,2847.0,0,pink
6,875000.0,4.0,4.0,1.5,4366.0,2,dark purple
7,699900.0,4.0,4.0,0.77,3879.0,2,dark purple
8,275000.0,3.0,2.0,0.16,1280.0,0,pink
9,415000.0,4.0,2.0,0.49,1814.0,0,pink
10,390000.0,3.0,2.0,0.5,1128.0,0,pink
11,865000.0,4.0,3.0,0.65,3465.0,2,dark purple
12,499900.0,4.0,3.0,0.46,2143.0,0,pink
13,650000.0,5.0,4.0,0.64,2363.0,2,dark purple
14,975000.0,3.0,4.0,3.04,2074.0,0,pink
15,439900.0,3.0,2.0,0.2,1349.0,0,pink
16,397000.0,2.0,2.0,0.51,2000.0,0,pink
17,389900.0,2.0,2.0,0.92,1723.0,0,pink
18,459900.0,4.0,3.0,3.8,2768.0,0,pink
19,249900.0,4.0,3.0,0.29,1514.0,0,pink
20,324900.0,4.0,2.0,0.56,1523.0,0,pink
21,364900.0,3.0,2.0,1.02,1617.0,0,pink
22,240000.0,2.0,1.0,0.28,1207.0,0,pink
23,224900.0,2.0,1.0,0.4,1034.0,0,pink
24,299500.0,3.0,2.0,0.11,2240.0,0,pink
25,469900.0,3.0,3.0,1.82,2096.0,0,pink
26,295000.0,4.0,2.0,0.3,2112.0,0,pink
27,339000.0,6.0,2.0,0.23,2399.0,2,dark purple
28,275000.0,2.0,2.0,0.05,1200.0,0,pink
29,579900.0,4.0,3.0,0.41,2590.0,0,pink
30,365000.0,3.0,2.0,0.3,1880.0,0,pink
31,215000.0,1.0,1.0,0.31,640.0,0,pink
32,499000.0,3.0,2.0,0.14,1728.0,0,pink
33,489900.0,3.0,2.0,0.12,1531.0,0,pink
34,65000.0,1.0,1.0,0.4,634.0,0,pink
35,273900.0,3.0,1.0,0.12,1175.0,0,pink
36,849900.0,4.0,5.0,3.97,5023.0,2,dark purple
37,449900.0,3.0,3.0,4.08,2283.0,0,pink
38,169999.0,2.0,1.0,0.6,802.0,0,pink
39,299900.0,5.0,3.0,0.32,1850.0,0,pink
40,435000.0,3.0,3.0,1.08,2360.0,0,pink
41,330000.0,2.0,3.0,30.0,2130.0,0,pink
42,174900.0,3.0,2.0,0.25,1637.0,0,pink
43,175000.0,5.0,2.0,0.13,1924.0,0,pink
44,160000.0,5.0,2.0,1.27,1495.0,0,pink
45,389900.0,2.0,2.0,6.0,1779.0,0,pink
46,300000.0,3.0,1.0,0.69,1200.0,0,pink
47,239900.0,4.0,2.0,0.11,1989.0,0,pink
48,299900.0,1.0,2.0,0.53,3792.0,0,pink
49,299900.0,3.0,2.0,0.22,2037.0,0,pink
50,759000.0,5.0,2.0,1.85,4510.0,2,dark purple
51,139000.0,3.0,2.0,0.05,1644.0,0,pink
52,110000.0,2.0,1.0,0.25,800.0,0,pink
53,215000.0,3.0,2.0,0.25,4620.0,0,pink
54,386000.0,4.0,2.0,1.3,2032.0,0,pink
55,375000.0,3.0,1.0,3.87,1008.0,0,pink
56,1295000.0,4.0,5.0,7.81,7000.0,2,dark purple
57,799000.0,4.0,4.0,1.59,3444.0,2,dark purple
58,289900.0,5.0,2.0,0.15,2316.0,0,pink
59,195500.0,4.0,2.0,0.17,2030.0,0,pink
60,1390000.0,3.0,5.0,14.48,3112.0,2,dark purple
61,285000.0,3.0,3.0,19.23,2268.0,0,pink
62,184900.0,1.0,1.0,0.29,640.0,0,pink
63,195000.0,2.0,1.0,0.15,1276.0,0,pink
64,219900.0,3.0,3.0,0.1,1781.0,0,pink
65,279900.0,3.0,1.0,0.13,1456.0,0,pink
66,215000.0,2.0,1.0,0.22,816.0,0,pink
67,425000.0,3.0,2.0,0.25,1609.0,0,pink
68,400000.0,4.0,3.0,0.46,2108.0,0,pink
69,500000.0,4.0,5.0,1.02,2396.0,2,dark purple
70,689000.0,5.0,2.0,0.38,3364.0,2,dark purple
71,249987.0,4.0,2.0,0.13,1596.0,0,pink
72,199900.0,3.0,1.0,0.26,1048.0,0,pink
73,185000.0,4.0,2.0,0.14,2040.0,0,pink
74,214900.0,4.0,2.0,0.12,1599.0,0,pink
75,379900.0,5.0,2.0,0.85,1605.0,0,pink
76,275000.0,3.0,1.0,0.29,1482.0,0,pink
77,379900.0,4.0,2.0,0.62,1988.0,0,pink
78,340000.0,3.0,2.0,1.07,1100.0,0,pink
79,300000.0,6.0,4.0,0.16,2844.0,2,dark purple
80,824900.0,4.0,2.0,0.18,2382.0,0,pink
81,349900.0,4.0,1.0,0.91,1404.0,0,pink
82,259900.0,4.0,2.0,0.11,1872.0,0,pink
83,240000.0,3.0,2.0,0.16,1284.0,0,pink
84,1290000.0,5.0,5.0,2.0,4476.0,2,dark purple
85,289900.0,3.0,1.0,0.26,1096.0,0,pink
86,199900.0,2.0,2.0,0.23,1210.0,0,pink
87,945000.0,9.0,10.0,2.83,5512.0,2,dark purple
88,270000.0,2.0,1.0,2.61,936.0,0,pink
89,439500.0,4.0,2.0,0.59,2394.0,0,pink
90,289000.0,3.0,3.0,0.14,1978.0,0,pink
91,299900.0,8.0,4.0,0.14,4192.0,2,dark purple
92,235000.0,2.0,1.0,0.27,1200.0,0,pink
93,449000.0,3.0,3.0,0.4,1916.0,0,pink
94,995000.0,5.0,4.0,0.72,4468.0,2,dark purple
95,325000.0,3.0,2.0,0.54,1336.0,0,pink
96,399999.0,2.0,1.0,0.5,1072.0,0,pink
97,547500.0,4.0,4.0,0.91,2420.0,2,dark purple
98,299900.0,3.0,2.0,0.53,880.0,0,pink
99,319000.0,2.0,1.0,0.48,1115.0,0,pink
100,349990.0,3.0,2.0,0.26,1300.0,0,pink
101,299900.0,3.0,2.0,0.2,1584.0,0,pink
102,219900.0,3.0,2.0,0.05,1092.0,0,pink
103,156750.0,3.0,1.0,0.47,1268.0,0,pink
104,365000.0,6.0,3.0,0.31,2408.0,2,dark purple
105,219000.0,3.0,1.0,0.15,1170.0,0,pink
106,259900.0,3.0,2.0,0.27,1265.0,0,pink
107,299987.0,4.0,2.0,0.17,2094.0,0,pink
108,377000.0,7.0,4.0,0.33,2538.0,2,dark purple
109,350000.0,3.0,1.0,0.34,1248.0,0,pink
110,375000.0,4.0,2.0,0.16,1280.0,0,pink
111,266000.0,3.0,2.0,0.33,1770.0,0,pink
112,240000.0,3.0,1.0,0.41,960.0,0,pink
113,149900.0,2.0,2.0,0.57,924.0,0,pink
114,249900.0,4.0,3.0,0.18,4704.0,2,dark purple
115,235000.0,3.0,1.0,0.15,1416.0,0,pink
116,1500000.0,6.0,7.0,4.52,6250.0,2,dark purple
117,275000.0,5.0,2.0,2.11,3024.0,0,pink
118,265000.0,3.0,1.0,0.4,1529.0,0,pink
119,229000.0,4.0,2.0,0.13,1529.0,0,pink
120,299000.0,3.0,1.0,0.65,1424.0,0,pink
121,309000.0,3.0,1.0,0.8,1040.0,0,pink
122,279900.0,4.0,1.0,1.06,1243.0,0,pink
123,294900.0,6.0,2.0,0.13,2288.0,2,dark purple
124,399900.0,4.0,3.0,1.6,1960.0,0,pink
125,675000.0,4.0,3.0,0.69,3476.0,2,dark purple
126,1237542.0,4.0,3.0,100.5,3063.0,2,dark purple
127,239900.0,3.0,2.0,0.4,1911.0,0,pink
128,329000.0,4.0,1.0,0.64,1296.0,0,pink
129,369900.0,12.0,3.0,0.15,3902.0,2,dark purple
130,299900.0,3.0,2.0,0.15,1613.0,0,pink
131,289900.0,5.0,3.0,0.14,2328.0,2,dark purple
132,350000.0,4.0,4.0,0.21,2016.0,0,pink
133,260000.0,3.0,1.0,0.39,1166.0,0,pink
134,375000.0,9.0,3.0,0.11,3656.0,2,dark purple
135,129900.0,4.0,2.0,1.0,1765.0,0,pink
136,164900.0,2.0,1.0,0.35,814.0,0,pink
137,559000.0,4.0,4.0,1.52,3408.0,2,dark purple
138,899900.0,3.0,4.0,5.93,5500.0,2,dark purple
139,115900.0,3.0,1.0,0.25,1367.0,0,pink
140,160000.0,1.0,1.0,0.47,608.0,0,pink
141,649000.0,3.0,3.0,21.0,3362.0,0,pink
142,149900.0,3.0,2.0,0.24,1422.0,0,pink
143,289900.0,3.0,3.0,0.14,1588.0,0,pink
144,439900.0,3.0,2.0,1.13,2448.0,0,pink
145,379900.0,3.0,2.0,0.49,1708.0,0,pink
146,149900.0,2.0,1.0,3.0,980.0,0,pink
147,195000.0,2.0,1.0,0.12,864.0,0,pink
148,349900.0,3.0,2.0,4.28,1410.0,0,pink
149,299900.0,3.0,2.0,0.37,1269.0,0,pink
150,299413.0,3.0,2.0,0.34,1424.0,0,pink
151,389999.0,6.0,3.0,0.14,2673.0,2,dark purple
