,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date,county
0,525000.0,3.0,3.0,0.45,Agawam,1001.0,2314.0,2014-06-25,Hampden
1,289900.0,3.0,2.0,0.36,Agawam,1001.0,1276.0,2012-10-12,Hampden
2,384900.0,3.0,2.0,0.46,Agawam,1001.0,1476.0,1986-11-20,Hampden
3,199999.0,3.0,2.0,1.76,Agawam,1001.0,1968.0,2008-09-19,Hampden
4,419000.0,4.0,2.0,2.0,Pelham,1002.0,1607.0,2005-07-25,Hampshire
5,745000.0,4.0,3.0,0.56,Amherst,1002.0,2847.0,1992-06-24,Hampshire
6,875000.0,4.0,4.0,1.5,Pelham,1002.0,4366.0,1996-07-12,Hampshire
7,699900.0,4.0,4.0,0.77,Amherst,1002.0,3879.0,1993-08-11,Hampshire
8,275000.0,3.0,2.0,0.16,Amherst,1002.0,1280.0,2021-08-19,Hampshire
9,415000.0,4.0,2.0,0.49,Amherst,1002.0,1814.0,1997-06-30,Hampshire
10,390000.0,3.0,2.0,0.5,Amherst,1002.0,1128.0,1998-09-17,Hampshire
11,865000.0,4.0,3.0,0.65,Amherst,1002.0,3465.0,2006-10-03,Hampshire
12,499900.0,4.0,3.0,0.46,Amherst,1002.0,2143.0,1988-06-10,Hampshire
13,650000.0,5.0,4.0,0.64,Amherst,1002.0,2363.0,2004-07-28,Hampshire
14,975000.0,3.0,4.0,3.04,Amherst,1002.0,2074.0,2006-06-21,Hampshire
15,439900.0,3.0,2.0,0.2,Amherst,1002.0,1349.0,2005-09-02,Hampshire
16,397000.0,2.0,2.0,0.51,Granby,1033.0,2000.0,2001-12-13,Hampshire
17,389900.0,2.0,2.0,0.92,Whately,1093.0,1723.0,1997-09-25,Franklin
18,459900.0,4.0,3.0,3.8,Sunderland,1375.0,2768.0,2009-07-17,Franklin
19,249900.0,4.0,3.0,0.29,Chicopee,1020.0,1514.0,1996-07-30,Hampden
20,324900.0,4.0,2.0,0.56,Granby,1033.0,1523.0,2007-09-19,Hampshire
21,364900.0,3.0,2.0,1.02,Belchertown,1007.0,1617.0,2001-10-05,Hampshire
22,240000.0,2.0,1.0,0.28,Chicopee,1013.0,1207.0,2011-11-29,Hampden
23,224900.0,2.0,1.0,0.4,South Hadley,1075.0,1034.0,1996-02-28,Hampshire
24,299500.0,3.0,2.0,0.11,Ludlow,1056.0,2240.0,2000-10-03,Hampden
25,469900.0,3.0,3.0,1.82,Orange,1364.0,2096.0,2000-06-30,Franklin
26,295000.0,4.0,2.0,0.3,South Hadley,1075.0,2112.0,2001-05-24,Hampshire
27,339000.0,6.0,2.0,0.23,Holyoke,1040.0,2399.0,2017-09-05,Hampden
28,275000.0,2.0,2.0,0.05,Chicopee,1013.0,1200.0,2002-06-12,Hampden
29,579900.0,4.0,3.0,0.41,Easthampton,1027.0,2590.0,2003-10-01,Hampshire
30,365000.0,3.0,2.0,0.3,Holyoke,1040.0,1880.0,2002-02-15,Hampden
31,215000.0,1.0,1.0,0.31,Belchertown,1007.0,640.0,2000-08-03,Hampshire
32,499000.0,3.0,2.0,0.14,Northampton,1062.0,1728.0,2003-05-30,Hampshire
33,489900.0,3.0,2.0,0.12,Northampton,1060.0,1531.0,2009-05-01,Hampshire
34,65000.0,1.0,1.0,0.4,Barre,1005.0,634.0,2003-10-28,Worcester
35,273900.0,3.0,1.0,0.12,Barre,1005.0,1175.0,1996-12-13,Worcester
36,849900.0,4.0,5.0,3.97,Barre,1005.0,5023.0,1988-06-24,Worcester
37,449900.0,3.0,3.0,4.08,Barre,1005.0,2283.0,1996-05-31,Worcester
38,169999.0,2.0,1.0,0.6,Belchertown,1007.0,802.0,2009-06-26,Hampshire
39,299900.0,5.0,3.0,0.32,Belchertown,1007.0,1850.0,2012-12-14,Hampshire
40,435000.0,3.0,3.0,1.08,Belchertown,1007.0,2360.0,2009-04-01,Hampshire
41,330000.0,2.0,3.0,30.0,Belchertown,1007.0,2130.0,2013-06-27,Hampshire
42,174900.0,3.0,2.0,0.25,Holyoke,1040.0,1637.0,2002-06-26,Hampden
43,175000.0,5.0,2.0,0.13,Holyoke,1040.0,1924.0,2001-10-15,Hampden
44,160000.0,5.0,2.0,1.27,Orange,1364.0,1495.0,2011-04-29,Franklin
45,389900.0,2.0,2.0,6.0,Leverett,1054.0,1779.0,1997-05-29,Franklin
46,300000.0,3.0,1.0,0.69,Southampton,1073.0,1200.0,2000-07-10,Hampshire
47,239900.0,4.0,2.0,0.11,Holyoke,1040.0,1989.0,1992-07-10,Hampden
48,299900.0,1.0,2.0,0.53,Greenfield,1301.0,3792.0,2008-09-24,Franklin
49,299900.0,3.0,2.0,0.22,Easthampton,1027.0,2037.0,2008-11-20,Hampshire
50,759000.0,5.0,2.0,1.85,South Hadley,1075.0,4510.0,2005-02-01,Hampshire
51,139000.0,3.0,2.0,0.05,Holyoke,1040.0,1644.0,2018-01-18,Hampden
52,110000.0,2.0,1.0,0.25,South Hadley,1075.0,800.0,2004-07-06,Hampshire
53,215000.0,3.0,2.0,0.25,Holyoke,1040.0,4620.0,1997-12-12,Hampden
54,386000.0,4.0,2.0,1.3,Deerfield,1373.0,2032.0,1993-12-13,Franklin
55,375000.0,3.0,1.0,3.87,West Springfield,1089.0,1008.0,1989-07-14,Hampden
56,1295000.0,4.0,5.0,7.81,Hadley,1035.0,7000.0,1997-08-06,Hampshire
57,799000.0,4.0,4.0,1.59,Deerfield,1373.0,3444.0,2002-05-17,Franklin
58,289900.0,5.0,2.0,0.15,Chicopee,1020.0,2316.0,2020-09-28,Hampden
59,195500.0,4.0,2.0,0.17,Chicopee,1013.0,2030.0,1996-12-30,Hampden
60,1390000.0,3.0,5.0,14.48,Williamsburg,1038.0,3112.0,2004-04-29,Hampshire
61,285000.0,3.0,3.0,19.23,Southampton,1073.0,2268.0,2002-11-22,Hampshire
62,184900.0,1.0,1.0,0.29,Greenfield,1301.0,640.0,1988-03-01,Franklin
63,195000.0,2.0,1.0,0.15,Easthampton,1027.0,1276.0,1996-11-27,Hampshire
64,219900.0,3.0,3.0,0.1,South Hadley,1075.0,1781.0,2009-08-21,Hampshire
